feature,cs-COSTRA,de-Klaper,en-Newsela_2015,en-Newsela_201601,en-Newsela_201612,en-Newsela_201623,en-Newsela_201634,en-Newsela_201645,en-QATS,en-TurkCorpus,es-Newsela01,es-Newsela12,es-Newsela23,es-Newsela34,es-Newsela45,it-PaCCSS
average_pos_in_freq_table,0.26***,0.4***,,,,,,0.15***,0.15***,,,,,,,0.29***
check_if_head_is_noun,,,,,,,,,,,,,,,,
check_if_head_is_verb,,,,,,,,,,,,,,,,
check_if_one_child_of_root_is_subject,,,,,,,,,,,,,,,,
check_passive_voice,,,,,,,,,,,,,,,,
count_characters,0.7***,0.28***,0.75***,0.13***,0.23***,0.29***,0.29***,0.4***,0.6***,0.5***,0.27***,0.37***,0.39***,0.36***,0.39***,0.44***
count_characters_per_sentence,0.7***,0.65***,0.74***,0.36***,0.46***,0.49***,0.51***,0.57***,0.62***,0.48***,0.36***,0.49***,0.55***,0.54***,0.59***,0.38***
count_characters_per_word,0.34***,0.48***,0.35***,0.15***,0.2***,0.25***,0.22***,0.27***,0.16***,0.49***,0.11***,0.14***,0.2***,0.16***,,
count_sentences,,0.46***,,0.26***,0.29***,0.24***,0.22***,0.12***,0.31***,,0.16***,0.24***,0.23***,0.19***,,0.1***
count_syllables_in_sentence,0.68***,0.26***,0.76***,0.14***,0.25***,0.31***,0.3***,0.4***,0.59***,0.42***,0.27***,0.37***,0.4***,0.36***,0.39***,0.46***
count_syllables_per_sentence,0.68***,0.63***,0.74***,0.37***,0.47***,0.5***,0.51***,0.57***,0.61***,0.42***,0.36***,0.5***,0.56***,0.54***,0.6***,0.4***
count_syllables_per_word,0.27***,0.33***,0.38***,0.18***,0.23***,0.29***,0.22***,0.27***,0.13***,0.4***,,0.15***,0.2***,0.13***,,
count_words,0.49***,,0.72***,,0.17***,0.22***,0.24***,0.34***,0.52***,0.21***,0.24***,0.33***,0.35***,0.33***,0.37***,0.54***
count_words_per_sentence,0.49***,0.6***,0.71***,0.35***,0.43***,0.45***,0.48***,0.53***,0.54***,0.25***,0.34***,0.47***,0.52***,0.51***,0.59***,0.46***
get_average_length_NP,,,,,,,,,,,,0.14***,,,,
get_average_length_VP,,,,,,,,,,,,,,,,
get_avg_length_PP,,,,,,,,,,,,,,,,
get_lexical_complexity_score,,0.31***,,,,,,,0.15***,,,,0.12***,,,
get_parse_tree_height,0.34***,0.53***,0.54***,0.27***,0.31***,0.33***,0.35***,0.38***,0.47***,0.12***,0.23***,0.31***,0.36***,0.36***,0.41***,0.2***
get_ratio_clauses,,0.13***,0.18***,,,,0.12***,0.12***,0.36***,,,,,0.13***,,
get_ratio_mwes,,,0.12***,,,,,0.12***,0.18***,,,,,0.1***,,
get_ratio_named_entities,,,,,,,,,,,,,,,,
get_ratio_of_adjectives,0.29***,0.26***,0.11***,,,,,,,,,0.11***,0.15***,,,0.23***
get_ratio_of_adpositions,,0.14***,0.14***,,,0.1***,0.12***,0.16***,0.39***,,0.15***,0.14***,0.18***,0.19***,0.39***,
get_ratio_of_adverbs,,0.14***,,,,,,,0.22***,,,,0.11***,,,0.23***
get_ratio_of_auxiliary_verbs,,,0.24***,0.14***,0.17***,0.17***,0.14***,,,0.19***,,0.11***,0.11***,,,0.21***
get_ratio_of_conjunctions,,0.26***,0.25***,0.12***,0.15***,0.16***,0.19***,0.17***,0.16***,,,,,0.12***,,
get_ratio_of_coordinating_clauses,,,,,,,,0.12***,0.21***,,,,,,0.31***,
get_ratio_of_determiners,0.19***,,,,,,,,,,,,,,,0.43***
get_ratio_of_function_words,,0.18***,,,,,,,0.22***,,,,,,,0.29***
get_ratio_of_interjections,,,,,,,,,,,,,,,,
get_ratio_of_nouns,,,,,,,,0.1***,0.15***,,,,,,,
get_ratio_of_numerals,,0.12***,,,,,,0.1***,,,,,,,,0.18***
get_ratio_of_particles,,,,,,,,,,,,,,,,
get_ratio_of_pronouns,,0.37***,0.18***,,0.14***,0.15***,0.14***,0.11***,0.21***,0.11***,,,,,,0.3***
get_ratio_of_punctuation,0.25***,0.28***,,,,,0.14***,0.17***,0.3***,0.16***,0.13***,,0.11***,0.22***,0.24**,0.52***
get_ratio_of_subordinate_clauses,,,,,,,,,0.41***,,,,,,,
get_ratio_of_symbols,,,,,,,,,,,,,,,,
get_ratio_of_verbs,0.3***,0.36***,0.24***,0.14***,0.17***,0.19***,0.15***,0.11***,,0.17***,0.1***,0.16***,0.17***,0.16***,0.36***,0.44***
get_ratio_prepositional_phrases,,0.14***,,,,,,,,,0.12***,0.1***,0.15***,0.14***,0.33***,
get_ratio_referential,,,,,,,,,,,,,,,,
get_ratio_relative_phrases,,0.11***,0.17***,,,,0.11***,,0.25***,,,,0.11***,0.1***,,
get_type_token_ratio,,0.3***,0.48***,,,,,,,,0.13***,0.17***,0.13***,,,0.32***
is_non_projective,,,,,,,,,,,,,,,,
max_pos_in_freq_table,0.34***,0.34***,,,,,,,,,0.1***,0.11***,0.17***,0.12***,,0.13***
sentence_fkgl,0.25***,0.31***,0.74***,0.18***,0.27***,0.34***,0.28***,0.32***,0.56***,0.5***,0.25***,0.34***,0.37***,0.25***,,0.44***
sentence_fre,0.18***,0.31***,0.61***,0.19***,0.25***,0.31***,0.22***,0.25***,0.34***,0.5***,0.18***,0.25***,0.27***,0.13***,,0.43***
