feature,EN,DE,CS,ES,IT
average_pos_in_freq_table,,0.44***,0.26***,,0.28***
check_if_head_is_noun,,,,,
check_if_head_is_verb,,,,,
check_if_one_child_of_root_is_subject,,,,,
check_passive_voice,,,,,
count_characters,0.6***,0.28***,0.7***,0.35***,0.45***
count_characters_per_sentence,0.61***,0.45***,0.7***,0.48***,0.33***
count_characters_per_word,0.31***,0.64***,0.34***,0.15***,
count_sentences,,0.29***,,0.19***,0.19***
count_syllables_in_sentence,0.6***,0.26***,0.68***,0.35***,0.47***
count_syllables_per_sentence,0.61***,0.43***,0.68***,0.48***,0.35***
count_syllables_per_word,0.33***,0.59***,0.27***,0.14***,
count_words,0.56***,,0.49***,0.31***,0.56***
count_words_per_sentence,0.57***,0.21***,0.49***,0.45***,0.39***
get_average_length_NP,,,,,
get_average_length_VP,,,,,
get_avg_length_PP,,,,,
get_lexical_complexity_score,,0.31***,,,
get_parse_tree_height,0.43***,0.25***,0.36***,0.32***,0.15***
get_ratio_clauses,0.14***,0.37***,,,
get_ratio_mwes,0.13***,0.35***,,,
get_ratio_named_entities,,,,,
get_ratio_of_adjectives,,0.28***,0.29***,0.12***,0.24***
get_ratio_of_adpositions,0.11***,0.21***,0.14**,0.16***,0.12***
get_ratio_of_adverbs,,0.13***,,,0.22***
get_ratio_of_auxiliary_verbs,0.18***,0.24***,,,0.41***
get_ratio_of_conjunctions,0.19***,0.38***,,,0.12***
get_ratio_of_coordinating_clauses,,,,,
get_ratio_of_determiners,,0.17***,0.17***,,0.54***
get_ratio_of_function_words,,,,,0.32***
get_ratio_of_interjections,,,,,
get_ratio_of_nouns,,,,,
get_ratio_of_numerals,,,,,0.19***
get_ratio_of_particles,,,,,
get_ratio_of_pronouns,,0.31***,,,0.31***
get_ratio_of_punctuation,,0.38***,0.26***,0.14***,0.54***
get_ratio_of_subordinate_clauses,,,,,
get_ratio_of_symbols,,,,,
get_ratio_of_verbs,0.18***,0.34***,0.29***,0.15***,0.26***
get_ratio_prepositional_phrases,0.11***,0.19***,0.14**,0.13***,0.1***
get_ratio_referential,,,,,
get_ratio_relative_phrases,0.15***,,0.12**,,
get_type_token_ratio,0.35***,0.28***,,0.12***,0.13***
is_non_projective,,,,,
max_pos_in_freq_table,,0.44***,0.34***,0.14***,0.14***
sentence_fkgl,0.6***,0.49***,0.26***,0.3***,0.44***
sentence_fre,0.51***,0.52***,0.18***,0.2***,0.42***
